metric,value
dist_std_base,0.31509703397750854
dist_std_reg0,0.31509703397750854
dist_std_reg1,0.31509703397750854
rel_pre_mean,0.1467927098274231
rel_pre_std,0.7436372637748718
rel_post_mean,0.2773602604866028
rel_post_std,0.3946077525615692
retained_high_mean,0.12124238908290863
retained_low_mean,0.8767778873443604
retained_gap,0.7555354982614517
pre_correct_rate,0.3976411120471778
post_correct_rate,0.75875
directional_align_overall,0.5430296930045294
switch_window,400
switch_pre_correct_rate,1.0
switch_post_correct_rate,0.72
switch_band_correct_rate,0.86
switch_margin_pre,0.7682339549064636
switch_margin_post,0.18483391404151917
switch_margin_pre_signed,0.7682339549064636
switch_margin_post_signed,0.18483391404151917
switch_margin_pre_abs,0.7682339549064636
switch_margin_post_abs,0.18483391404151917
corr_lambda_regime,-0.10160928573187566
corr_gate_regime,0.10160928573187565
corr_retained_regime,0.10160927083460017
auc_switch_lambda,0.47831273986707856
auc_switch_gate,0.47831273986707856
auc_switch_rel,0.47831273986707856
retained_gap_switch,-0.5011210292577744
retained_gap_switch_signed,-0.5011210292577744
retained_gap_switch_abs,0.5011210292577744
peak_delay_lambda,314.0
peak_delay_gate,314.0
peak_delay_rel,314.0
peak_delay_min,314.0
corr_time_lambda_switch,-0.7628028621655819
corr_time_gate_switch,0.7628028621655822
corr_time_retained_switch,0.762802861648564
directional_align_abs_thr,0.58
switch_band_abs_thr,0.6
switch_margin_abs_thr,0.0
peak_delay_abs_thr,200.0
retained_gap_switch_abs_thr,0.1
switch_margin_pass,True
peak_delay_pass,False
retained_gap_switch_pass,True
switch_band_pass,True
directional_align_pass,False
abs_pass_all,False
pass_core_checks_v2,False
pass_core_checks_v3_abs,False
pass_core_checks_v3,False
