auc_regime,corr_mae,corr_mse,corr_mse_soft_exception,filter_reasons,k,lambda_hash_round6,lambda_oriented_swapped,n_auc,n_corr,n_peak_delay,n_sep,n_smooth_mean,n_smooth_std,n_switch_band,n_switch_margin_gap,n_top10,peak_delay_base_window,peak_delay_lambda,reg1_top10_coverage,score,score_norm_auc,score_norm_corr_mse,score_norm_sep_mean,score_norm_smooth_mean_abs,score_norm_smooth_std,score_norm_top10,sep_mean,sep_median,smooth_mask_count,smooth_mean_abs_diff,smooth_mean_abs_diff_far,smooth_mean_abs_diff_used,smooth_std_diff,smooth_std_diff_far,smooth_std_diff_used,switch_band_correct_rate,switch_margin_gap_signed,switch_margin_post_signed,switch_margin_pre_signed,switch_post_correct_rate,switch_pre_correct_rate,top10_in_reg1,valid_count,valid_ratio,window
0.5085070125081677,0.11109131207456967,0.10633410363134498,False,smooth_mean_abs_diff;smooth_std_diff,5,f847d60f74089806cf8e573a67c2b6319cecf47d,True,0.9065551739843914,1.0,0.045454545454545414,1.0,0.7037822900524534,0.7486143961594585,0.5251346499102335,0.5428080815781834,1.0,200,171.0,0.09166666666666666,4.498532500428377,0.8672984929056982,0.9939790227924616,1.0,0.6582846894627034,0.7044603258070797,1.0,0.00893301480614861,0.005475055272160079,5568,0.04391881845821225,0.04077084549826714,0.04077084549826714,0.07394337055334757,0.06966859793333412,0.06966859793333412,0.5975,0.04904044149247211,0.04904044149247211,0.04904044149247211,0.615,0.58,0.3685092127303183,5971,nan,30
0.5654350369746326,0.12311610429818648,0.10776152289043772,False,smooth_mean_abs_diff;smooth_std_diff,3,c67bda070f304163ae16158819cbd9737ba63a39,True,1.0,1.0,1.0,1.0,0.4149996261241696,0.48651385851368867,0.28725314183123885,0.3121216224716933,0.4409499115892176,200,150.0,0.025,4.4742952270011935,1.0,1.0,0.9968290613755739,0.3631806954361693,0.43253800776066387,0.2731848688224527,0.007663542180756433,0.07156008419090462,5558,0.027012407122126224,0.027161300310546897,0.027161300310546897,0.05081030594758634,0.05132273360638021,0.05132273360638021,0.465,-0.03820386031715178,-0.03820386031715178,-0.03820386031715178,0.435,0.495,0.10067114093959731,5961,nan,40
0.5264481013271336,0.0009676329382329453,-0.008681826657916357,False,corr_mse,2,b9894b1ecb4728149fef15a9bfddedbd0cc617ff,True,0.9526022432591298,0.5517230235770235,1.0,0.8651451905802908,0.0,0.0,0.9156193895870737,0.940901835591877,0.44259901048992545,200,150.0,0.024583333333333332,4.454482403899116,0.909119890143749,0.5088319362836188,0.7623789585427324,0.0,0.0,0.2741516189290162,-0.08619762096948963,0.07210231345536741,5438,0.006205903819369911,0.006455552232687056,0.006455552232687056,0.0140132907196317,0.01440369289530643,0.01440369289530643,0.815,0.19959722648202394,0.19959722648202394,0.19959722648202405,0.63,1.0,0.10102739726027397,5841,nan,160
0.4603900634742836,0.09436914119093914,0.08402778275442879,False,smooth_mean_abs_diff;smooth_std_diff,3,fe5a17d5713ce7506c0628445660bc7728a1348b,True,0.7830596321134822,1.0,1.0,0.9492375275354761,0.562142423931546,0.608734594252626,0.2692998204667864,0.3346322927220309,0.6417659072759057,200,150.0,0.035833333333333335,3.8526260399165455,0.7551359558526602,0.8998890427614289,0.8299647547745536,0.4886679461338278,0.5346048582473599,0.3909090909090909,-0.059139917133560094,-0.04290069540755648,5568,0.034201530687625666,0.03409574204110862,0.03409574204110862,0.05949337052050705,0.05987763797989751,0.05987763797989751,0.455,-0.029690453345350365,-0.029690453345350365,-0.02969045334535031,0.45,0.46,0.1440536013400335,5971,nan,30
0.49941688835993653,0.05888728499876265,0.0438076837478736,False,smooth_mean_abs_diff;smooth_std_diff,2,39801a6ef65f135ee6ecd7d66abce2eb2ea51dc8,True,0.8832247295173262,0.8088744851230628,1.0,0.8947417722158018,0.366802380847291,0.3853115698634944,0.9425493716337522,0.9913547065370434,0.20755790830992363,200,150.0,0.0125,3.8245995664460484,0.8461090491220804,0.7302372058110713,0.7861660074939598,0.32469128342062736,0.3495850489240722,0.13636363636363635,-0.07667457083858009,-0.0025200185572444855,5568,0.02480736129153562,0.024889894615355262,0.024889894615355262,0.04375330463268004,0.04423902643877817,0.04423902643877817,0.83,0.2186782142302912,0.2186782142302912,0.2186782142302912,0.735,0.925,0.05025125628140704,5971,nan,30
0.4763197835870918,-0.034210690625677435,-0.03375991789324174,False,corr_mse,5,0f0f5fdee3e1fbd1a5b94bef137de90f6c2e4a23,True,0.8239443818052765,0.4288628984950131,0.045454545454545414,0.7569916072817652,0.03850287025811047,0.0670707464107451,0.9874326750448835,0.9246912947092573,0.030053235263243452,200,171.0,0.002916666666666667,3.804925723195056,0.7922687720072998,0.4030503904801588,0.675454914007605,0.03510401239039497,0.06304953571480708,0.0323051948051948,-0.12099731534884295,0.09255334778870453,5478,0.008217001212262924,0.00941802742051743,0.00941802742051743,0.019377061496272836,0.02196359342057941,0.02196359342057941,0.855,0.19346649246868652,0.19346649246868663,0.19346649246868652,0.71,1.0,0.011904761904761904,5881,nan,120
0.4164502809260874,-0.05035676109391001,-0.05129715719539298,False,corr_mse,3,0eb899d680b1c4c99c79160c1388fd6fc60456d2,False,0.6702850825122979,0.3429461756456916,1.0,0.5721160366054653,0.0,0.0,0.0,0.0,0.3078516712804785,200,150.0,0.0175,3.64579765640202,0.6527105613270452,0.32907680672137546,0.526868691999898,0.022313889557889512,0.03570329366499709,0.19515877957658778,-0.18048321643069337,-0.018778044158743956,5438,0.0074842592568085346,0.007006820888316347,0.007006820888316347,0.017050653025618888,0.016075022623093335,0.016075022623093335,0.185,-0.2028623715107566,-0.2028623715107566,-0.2028623715107566,0.37,0.0,0.07191780821917808,5841,nan,160
0.43368715886239584,-0.02154558482139774,-0.028902922116549233,False,corr_mse,10,62cb90c28654a7313253d6c07b46f05956b9c477,True,0.7145247449108452,0.4526578158612389,0.0,0.7181286539781317,0.16629376417326291,0.2940213694775633,0.44883303411131076,0.44888619892252546,0.1638839259066397,200,172.0,0.01,3.551697335314489,0.6928904147680528,0.42353761641766113,0.6442203956430373,0.11298167718999796,0.2067300822277892,0.11076066790352503,-0.13350193014197997,-0.044996250395887616,5478,0.012678587167204394,0.015440466308155567,0.015440466308155567,0.031600300062915775,0.03784912107763685,0.03784912107763685,0.555,0.013519721686565789,0.013519721686565844,0.013519721686565789,0.625,0.485,0.04081632653061224,5881,nan,120
0.367615518744551,-0.04806326876075659,-0.05123323686651897,False,corr_mse,5,ae1aa5f06174db6a200fa3ab8adb403ae328a625,True,0.5449472225931483,0.34325932785201585,0.045454545454545414,0.5537853320827367,0.022710849827351574,0.0650935164760193,0.0897666068222621,0.3896359734675926,0.39504112606306185,200,171.0,0.022083333333333333,3.504351143774317,0.5388747730519896,0.32934642816636944,0.5121361336537185,0.04769991736382915,0.07457806700914903,0.24627179327521792,-0.1863813373777215,-0.06280742455824756,5438,0.008938616490068966,0.00867379224817624,0.00867379224817624,0.02035782049081785,0.021825196176333023,0.021825196176333023,0.355,-0.008888375311846164,-0.008888375311846053,-0.008888375311846164,0.475,0.235,0.09075342465753425,5841,nan,160
0.4081226532432179,0.0026482995220334575,0.002165840551125002,False,smooth_mean_abs_diff;smooth_std_diff,8,07701f7077262dbf8d4343588781af3b905849fb,True,0.6489116389784834,0.6048668508980406,0.0,0.7900193471134909,0.448379416928219,0.5541994857712009,0.6822262118491923,0.6745302127770693,0.2394589041523223,200,172.0,0.014166666666666666,3.4243464364103797,0.6332985273702373,0.5545883295819068,0.7019996168317663,0.2746457441391498,0.3459592282993162,0.15506493506493504,-0.11037024949368401,0.05789324779666233,5548,0.021940268708055245,0.028734399488748175,0.028734399488748175,0.04344484763156303,0.05606042451577212,0.05606042451577212,0.685,0.0988569994899986,0.09885699948999865,0.0988569994899986,0.7,0.67,0.05714285714285714,5951,nan,50
